intern_id,attendance_pct,submission_pct,feedback_score,mentor_sessions,department,final_success,split,success_probability
INT-0145,51.7,53.42,2.96,3.0,Data Analytics,0,train,0.18603012354421583
INT-0146,72.72,70.57,2.61,6.0,Web Development,1,test,0.5489503033263381
INT-0147,68.24,73.91,3.05,3.0,Web Development,0,test,0.5094319407200371
INT-0148,87.72,68.15,2.79,1.0,Web Development,0,train,0.6028374479728018
INT-0149,91.14,100.0,4.05,4.0,Data Analytics,0,train,0.9314147599022183
INT-0150,73.26,77.86,3.31,3.0,Design,0,train,0.6320158361305286
INT-0151,70.71,73.25,2.66,3.0,Data Analytics,1,train,0.48185808666936236
INT-0152,76.23,42.7,3.58,4.0,Design,0,train,0.4304076912914943
INT-0153,59.92,51.06,2.86,8.0,Design,0,train,0.3234295137077084
INT-0154,67.34,62.34,2.84,1.0,Data Analytics,0,train,0.33127310363372087
INT-0155,74.88,62.62,3.47,2.0,Web Development,1,train,0.5207131952662079
INT-0156,87.08,89.42,4.23,5.0,Data Analytics,1,test,0.9047128701948456
INT-0157,83.71,100.0,2.86,0.0,Design,1,train,0.7779986036019946
INT-0158,74.16,84.04,3.94,1.0,Web Development,1,test,0.7161561622081519
INT-0159,78.53,43.61,2.72,5.0,Web Development,1,test,0.3794917672024887
INT-0160,62.7,43.27,2.15,4.0,Data Analytics,0,train,0.16335548810689224
INT-0161,88.36,55.84,1.78,5.0,Web Development,0,train,0.4733394919451934
INT-0162,56.85,68.05,2.79,1.0,Web Development,0,test,0.2646552069716513
INT-0163,100.0,100.0,4.86,7.0,Data Analytics,1,train,0.9766740280351014
INT-0164,84.48,68.33,2.5,4.0,Marketing,0,train,0.6022290604453625
INT-0165,100.0,76.39,5.0,1.0,Web Development,1,test,0.9181822046811293
INT-0166,58.4,62.32,3.57,2.0,Data Analytics,0,train,0.34483119857879047
INT-0167,93.28,74.64,4.78,2.0,Design,0,train,0.8838069910652014
INT-0168,83.41,69.48,4.15,4.0,Web Development,1,train,0.779354485703654
INT-0169,78.63,56.65,4.62,4.0,Web Development,1,test,0.6999517992196751
INT-0170,70.44,54.71,2.83,3.0,Design,1,train,0.3479532837647539
INT-0171,67.94,76.42,1.28,4.0,Data Analytics,0,train,0.3288691878267164
INT-0172,68.26,88.78,3.31,8.0,Design,1,train,0.7628025494275215
INT-0173,72.98,78.39,3.56,8.0,Data Analytics,1,train,0.7620290927646187
INT-0174,65.34,52.94,2.89,4.0,Data Analytics,0,train,0.3107240449101179
INT-0175,57.83,62.43,2.95,8.0,Data Analytics,0,train,0.40098988314453
INT-0176,64.27,50.1,4.41,7.0,Data Analytics,0,test,0.5348832773989041
INT-0177,100.0,100.0,4.46,7.0,Web Development,1,train,0.9714364430066734
INT-0178,83.89,77.04,4.04,2.0,Marketing,0,train,0.7840234561751819
INT-0179,69.08,78.88,2.68,3.0,Marketing,0,train,0.5134164843949637
INT-0180,79.2,81.89,2.78,3.0,Data Analytics,0,train,0.6634813356293346
INT-0181,81.28,79.08,5.0,0.0,Marketing,1,test,0.823639513908006
INT-0182,70.82,54.54,3.58,0.0,Design,0,test,0.37307269181884184
INT-0183,66.87,55.46,2.76,5.0,Design,0,train,0.3521146997740557
INT-0184,100.0,97.61,3.52,3.0,Marketing,1,test,0.9286559687644819
INT-0185,77.61,88.52,3.16,7.0,Web Development,1,train,0.8051129730185155
INT-0186,100.0,77.42,3.67,6.0,Web Development,1,train,0.904611029057541
INT-0187,75.18,61.2,2.59,0.0,Design,0,train,0.35339321954345315
INT-0188,63.34,42.28,1.74,7.0,Design,0,train,0.17396744478442264
INT-0189,57.43,45.11,2.58,4.0,Design,0,test,0.16904663071323683
INT-0190,100.0,79.35,3.81,5.0,Data Analytics,1,train,0.9080822391390451
INT-0191,96.78,79.67,5.0,8.0,Marketing,1,test,0.9553396310424158
INT-0192,59.76,57.62,3.52,5.0,Web Development,1,train,0.38418578188464664
INT-0193,58.82,67.08,3.39,0.0,Marketing,0,train,0.32104042811876776
INT-0194,93.14,78.85,3.61,1.0,Web Development,1,train,0.8115321228423941
INT-0195,50.01,52.67,2.76,3.0,Data Analytics,0,train,0.15654983630043992
INT-0196,69.58,72.5,3.21,0.0,Marketing,1,test,0.46069124623025093
INT-0197,82.35,64.07,4.22,1.0,Design,0,test,0.6839547873430206
INT-0198,96.22,62.8,3.14,7.0,Data Analytics,1,test,0.8018675371459385
INT-0199,60.55,86.26,4.15,1.0,Data Analytics,1,train,0.6170890135386256
INT-0200,77.75,63.53,3.32,1.0,Data Analytics,0,test,0.5179421407207715
INT-0201,71.45,69.37,4.12,4.0,Data Analytics,1,train,0.6651412422055158
INT-0202,92.77,100.0,3.76,0.0,Marketing,0,test,0.895041300245497
INT-0203,80.68,69.16,2.18,2.0,Data Analytics,0,train,0.4762017894025614
INT-0204,63.76,97.77,3.91,8.0,Data Analytics,0,test,0.8287530893621959
INT-0205,51.67,45.2,2.88,5.0,Marketing,0,train,0.16746658653132288
INT-0206,96.35,66.42,3.78,8.0,Marketing,1,train,0.876274308034646
INT-0207,61.66,65.22,3.27,3.0,Data Analytics,0,train,0.3894012346600974
INT-0208,63.53,56.99,2.55,5.0,Design,0,test,0.3053012165689661
INT-0209,75.96,72.24,2.4,2.0,Design,0,test,0.47612798036437626
INT-0210,71.68,58.98,3.62,3.0,Design,1,test,0.4964247992192595
INT-0211,85.01,87.23,4.16,1.0,Web Development,1,train,0.8393105116730751
INT-0212,36.67,49.92,2.34,7.0,Marketing,0,train,0.09742390412673484
INT-0213,84.84,82.35,4.19,1.0,Marketing,1,test,0.81677327176113
INT-0214,70.09,49.9,2.54,1.0,Design,0,train,0.239750170038546
INT-0215,63.29,80.99,2.83,4.0,Marketing,0,train,0.507947753314508
INT-0216,93.3,94.57,5.0,3.0,Data Analytics,0,train,0.9488492353126832
INT-0217,79.7,62.17,4.28,2.0,Design,0,train,0.671029436744084
INT-0218,91.44,100.0,3.82,3.0,Marketing,1,test,0.9172396222224153
INT-0219,81.9,100.0,3.52,2.0,Design,1,train,0.8465960290082291
INT-0220,54.87,74.89,3.16,8.0,Marketing,1,train,0.49860038512133087
INT-0221,85.34,88.4,1.37,5.0,Web Development,1,train,0.6566232952000502
INT-0222,67.42,77.08,2.89,8.0,Marketing,1,train,0.6253517826969941
INT-0223,73.85,51.56,3.45,8.0,Marketing,1,train,0.5581326896556146
INT-0224,82.05,28.83,2.61,5.0,Design,1,train,0.2914377817134597
INT-0225,90.54,77.02,3.62,7.0,Design,1,train,0.8661718300211192
INT-0226,82.17,67.36,4.3,0.0,Design,0,train,0.6941616729827798
INT-0227,100.0,99.48,4.43,8.0,Web Development,1,train,0.9731673940789632
INT-0228,98.98,100.0,3.6,4.0,Design,1,train,0.9393086598135761
INT-0229,66.79,66.97,3.2,6.0,Marketing,1,train,0.5261648638838051
INT-0230,74.35,47.06,3.03,2.0,Data Analytics,0,train,0.3317487646206813
INT-0231,56.6,42.3,2.56,0.0,Data Analytics,0,train,0.10645650858599168
INT-0232,69.42,83.69,2.9,7.0,Web Development,1,test,0.6765618493619552
INT-0233,80.27,62.0,5.0,4.0,Web Development,1,test,0.7863483004238007
INT-0234,80.46,100.0,2.43,1.0,Design,1,test,0.7265000281626196
INT-0235,62.63,53.55,2.76,5.0,Web Development,0,train,0.29483861393176897
INT-0236,77.99,69.17,3.07,0.0,Design,0,train,0.5118575476388
INT-0237,34.25,53.01,1.78,4.0,Data Analytics,1,train,0.05638944342405901
INT-0238,73.83,79.78,3.95,6.0,Web Development,0,train,0.7787249604379469
INT-0239,54.93,67.73,3.44,6.0,Design,1,train,0.42647964210137207
INT-0240,71.7,47.41,3.1,4.0,Web Development,0,train,0.3589223563537719
INT-0241,61.84,73.56,2.77,3.0,Design,0,train,0.39713497229633793
INT-0242,91.45,58.55,3.27,7.0,Design,1,test,0.7500766914820788
INT-0243,58.46,47.51,2.45,1.0,Web Development,0,train,0.13905735029422853
INT-0244,44.34,52.14,2.61,0.0,Web Development,1,train,0.08813230868319531
INT-0245,100.0,100.0,4.33,1.0,Marketing,1,train,0.9465204049838531
INT-0246,52.23,56.12,2.93,7.0,Marketing,0,test,0.2719707252988363
INT-0247,56.88,42.64,3.38,4.0,Data Analytics,1,train,0.21649698579887955
INT-0248,100.0,82.49,3.46,0.0,Design,1,test,0.8490833421214329
INT-0249,100.0,100.0,4.12,1.0,Web Development,1,train,0.9407171879391911
INT-0250,70.53,55.86,1.59,0.0,Data Analytics,0,train,0.17915110176511223
INT-0251,65.1,82.2,3.82,7.0,Design,1,train,0.7240456191525647
INT-0252,76.59,76.84,3.75,4.0,Data Analytics,1,train,0.7285658670983364
INT-0253,95.64,79.99,4.62,0.0,Web Development,1,train,0.8851924168262136
INT-0254,58.53,69.74,1.91,1.0,Design,1,train,0.20690211575096193
INT-0255,85.56,62.89,4.53,5.0,Marketing,1,test,0.8073163423942947
INT-0256,95.17,89.23,3.36,5.0,Web Development,1,test,0.8973627092184351
INT-0257,100.0,69.89,3.74,7.0,Marketing,1,test,0.8935131193287774
INT-0258,95.41,89.0,3.81,0.0,Marketing,0,train,0.8718648249049887
INT-0259,65.82,57.59,2.64,0.0,Web Development,0,train,0.24297681588904835
INT-0260,59.46,45.28,2.33,0.0,Data Analytics,0,train,0.11789294505868309
INT-0261,62.9,69.69,3.41,3.0,Design,0,train,0.45830261743469725
INT-0262,66.49,52.45,5.0,6.0,Data Analytics,0,train,0.6299841286672302
INT-0263,74.95,80.34,3.73,5.0,Marketing,1,train,0.7535151791677899
INT-0264,59.65,85.68,4.25,1.0,Web Development,0,test,0.614812575843527
INT-0265,74.08,72.68,4.48,5.0,Marketing,1,train,0.7696010238776212
INT-0266,90.74,93.74,4.16,5.0,Design,1,train,0.9263314439973643
INT-0267,68.01,35.99,2.79,1.0,Web Development,0,train,0.16875880613509886
INT-0268,91.35,77.08,4.32,6.0,Marketing,1,test,0.8978486607621387
INT-0269,69.57,68.47,2.38,3.0,Marketing,1,train,0.39318708681509773
INT-0270,100.0,60.54,4.52,0.0,Marketing,1,train,0.822167526517721
INT-0271,63.38,75.6,3.18,3.0,Data Analytics,1,train,0.4842077634241581
INT-0272,83.15,72.5,1.7,6.0,Web Development,0,test,0.5681218767395062
INT-0273,63.68,67.96,3.11,6.0,Marketing,0,train,0.48675961034742943
INT-0274,100.0,100.0,4.9,2.0,Marketing,1,train,0.9632934875293008
INT-0275,100.0,70.34,4.02,6.0,Web Development,1,test,0.8993863724192837
INT-0276,86.37,62.33,4.09,3.0,Data Analytics,1,train,0.7364012262593612
INT-0277,53.85,73.25,2.42,4.0,Web Development,0,train,0.2923594225570765
INT-0278,64.53,24.66,1.93,0.0,Design,0,train,0.06375964539686405
INT-0279,83.46,80.33,3.95,8.0,Design,1,test,0.8721466798534068
INT-0280,96.3,70.61,3.55,7.0,Marketing,1,test,0.86770182396335
INT-0281,92.81,100.0,3.4,1.0,Data Analytics,1,train,0.8865133829603027
INT-0282,54.53,54.85,3.39,5.0,Web Development,0,test,0.29380601607944035
INT-0283,66.62,79.04,3.27,7.0,Web Development,0,train,0.6551608156088128
INT-0284,74.53,97.53,3.85,4.0,Marketing,1,train,0.8386206580328208
INT-0285,69.33,43.87,2.89,1.0,Data Analytics,0,train,0.22921232604628455
INT-0286,83.53,78.58,2.07,8.0,Data Analytics,0,train,0.7081508092021893
INT-0287,92.78,57.2,2.61,2.0,Web Development,1,test,0.5704865845158573
INT-0288,62.81,87.87,3.43,3.0,Data Analytics,0,test,0.6125493656854443
INT-0289,76.93,61.64,4.64,3.0,Design,1,train,0.7007149036514054
INT-0290,86.71,55.95,3.75,8.0,Design,1,train,0.7571568832850091
INT-0291,57.89,64.93,2.07,4.0,Design,0,train,0.23843458164423065
INT-0292,80.06,78.32,1.3,6.0,Marketing,1,train,0.5301371762737568
INT-0293,100.0,88.62,4.65,8.0,Web Development,1,train,0.9656279770687951
INT-0294,39.06,38.69,2.05,8.0,Web Development,0,train,0.07238955778946202
INT-0295,56.16,60.05,4.08,7.0,Web Development,0,train,0.4824538451583357
INT-0296,77.21,83.51,2.87,8.0,Marketing,1,test,0.7642658414330723
INT-0297,78.87,82.93,3.79,8.0,Design,1,train,0.8470873265840053
INT-0298,71.31,65.2,3.81,8.0,Data Analytics,0,test,0.6828762025196161
INT-0299,47.77,37.71,2.21,5.0,Design,0,train,0.08406063628828868
INT-0300,78.16,79.37,3.27,1.0,Design,0,train,0.6466188964913839
INT-0301,100.0,100.0,4.28,1.0,Data Analytics,0,train,0.9451892940035959
INT-0302,60.95,76.32,3.01,7.0,Design,1,train,0.5375063792318013
INT-0303,87.05,98.97,3.82,2.0,Design,1,train,0.8878104674090682
INT-0304,69.3,80.41,3.92,7.0,Data Analytics,1,train,0.7596944139104829
INT-0305,78.06,100.0,3.05,8.0,Data Analytics,1,train,0.8665490412264559
INT-0306,44.05,62.38,1.94,5.0,Design,0,train,0.13449222220069604
INT-0307,78.09,73.43,4.62,6.0,Design,1,train,0.8304024153356327
INT-0308,96.19,100.0,3.63,2.0,Design,1,train,0.9190851539091176
INT-0309,86.55,67.2,3.29,3.0,Web Development,0,train,0.6868974287015029
INT-0310,100.0,93.5,4.22,8.0,Design,1,train,0.9636718201620814
INT-0311,74.96,83.75,4.04,7.0,Marketing,1,train,0.8306674848465221
INT-0312,64.41,88.09,3.35,1.0,Data Analytics,1,train,0.5752176573251779
INT-0313,100.0,97.46,4.26,8.0,Design,1,test,0.9687438655485291
INT-0314,84.07,80.96,3.59,4.0,Data Analytics,1,test,0.8009701542610914
INT-0315,91.29,100.0,3.94,7.0,Data Analytics,1,test,0.9453809687319257
INT-0316,69.23,79.34,1.6,4.0,Marketing,1,test,0.40431239866718266
INT-0317,85.58,70.8,4.75,5.0,Data Analytics,1,train,0.8602406435427301
INT-0318,77.56,51.46,2.95,1.0,Design,0,train,0.3681054664442023
INT-0319,96.69,100.0,4.3,3.0,Design,1,test,0.947803616632075
INT-0320,58.9,63.98,1.85,6.0,Marketing,0,train,0.2561972211088486
INT-0321,67.88,62.03,3.46,7.0,Design,0,train,0.5547813124994996
INT-0322,83.02,64.57,2.83,0.0,Design,0,train,0.5000005611648675
INT-0323,100.0,93.06,5.0,0.0,Marketing,1,train,0.9472450419085328
INT-0324,94.96,94.92,3.37,6.0,Marketing,1,train,0.9209279959970604
INT-0325,94.69,100.0,4.84,4.0,Design,1,test,0.9602440207697823
INT-0326,94.97,87.67,3.31,7.0,Data Analytics,1,test,0.9067884853556702
INT-0327,64.6,55.04,2.3,0.0,Data Analytics,1,train,0.18896544095654966
INT-0328,92.65,71.83,3.19,3.0,Web Development,0,train,0.7640538736214173
INT-0329,52.83,43.81,3.71,0.0,Design,0,train,0.16062818259483785
INT-0330,68.48,60.05,1.82,6.0,Design,0,train,0.31655349282812484
INT-0331,100.0,96.45,3.23,7.0,Marketing,1,train,0.9408301836326576
INT-0332,87.5,81.72,2.36,1.0,Data Analytics,1,test,0.6560126471614924
INT-0333,57.04,34.42,2.29,2.0,Data Analytics,0,train,0.08944190444453874
INT-0334,67.95,50.22,2.33,7.0,Data Analytics,0,test,0.31728286959382296
INT-0335,84.25,73.31,2.29,0.0,Design,1,test,0.5185108695511538
INT-0336,61.85,48.6,2.28,8.0,Design,0,train,0.2623938413377736
INT-0337,70.8,57.81,1.65,7.0,Data Analytics,0,train,0.32545835648539023
INT-0338,79.78,83.82,2.84,1.0,Marketing,1,train,0.6473791927563224
INT-0339,100.0,75.38,4.82,1.0,Web Development,1,train,0.9080402851295893
INT-0340,77.52,58.95,3.99,6.0,Design,1,train,0.6773097020890986
INT-0341,40.05,30.46,2.39,0.0,Marketing,0,test,0.03264934035380433
INT-0342,82.37,87.57,2.85,4.0,Data Analytics,0,test,0.7601807481336256
INT-0343,87.8,96.78,2.36,0.0,Marketing,0,test,0.7454913972345908
INT-0344,68.82,89.57,2.81,4.0,Marketing,1,test,0.6389348325522767
INT-0345,87.52,77.3,4.18,3.0,Marketing,1,train,0.8371717170398326
INT-0346,28.74,35.74,2.98,6.0,Data Analytics,1,test,0.05505891786101944
INT-0347,70.05,66.14,3.74,7.0,Web Development,1,train,0.6471278222761482
INT-0348,75.09,83.94,4.14,4.0,Data Analytics,1,train,0.7960976934498645
